#mt_dcx   mt    pourcentage

5                         17         0.0000
5                         18         0.0000
5                         19         0.0000
5                         20         0.0000
5                         21         0.0000
5                         22         0.0000
5                         23         0.0000
5                         24         0.0000
5                         25         0.0000
5                         26         0.0000
5                         27         0.0000
5                         28         0.0000
5                         29         0.0000
5                         30         0.0000
5                         31         0.0000
5                         32         0.0000
5                         33         0.0000
5                         34         0.0000
5                         35         0.0000
5                         36         0.0000
5                         37         0.0000
5                         38         0.0000
5                         39         0.0000
5                         40         0.0000
5                         41         0.0000
5                         42         0.0000
5                         43         0.0000
5                         44         0.0000
5                         45         0.0000
5                         46         0.0000
5                         47         0.0000
5                         48         0.0000
5                         49         0.0000
5                         50         0.0000
5                         51         0.0000
5                         52         0.0000
5                         53         0.0000
5                         54         0.0000
5                         55         0.0000
5                         56         0.0000
5                         57         0.0000
5                         58         0.0000
5                         59         0.0000
5                         60         0.0000
5                         61         0.0000
5                         62         0.0000
5                         63         0.0000
5                         64         0.0000
5                         65         0.0000
5                         66         0.0000
5                         67         0.0000
5                         68         0.0000
5                         69         0.0000
5                         70         0.0000
5                         71         0.0000
5                         72         0.0000
5                         73         0.0000
5                         74         0.0000
5                         75         0.0000
5                         76         0.0000
5                         77         0.0000
5                         78         0.0000
5                         79         0.0000
5                         80         0.0000
5                         81         0.0000
5                         82         0.0000
5                         83         0.0000
5                         84         0.0000
5                         85         0.0000
5                         86         0.0000
5                         87         0.0000
5                         88         0.0000
5                         89         0.0000
5                         90         0.0000
5                         91         0.0000
5                         92         0.0000
5                         93         0.0000
5                         94         0.0000
5                         95         0.0000
5                         96         0.0000
5                         97         0.0000
5                         98         0.0000
5                         99         0.0000
5                         100         0.0000
5                         101         0.0000
5                         102         0.0000
5                         103         0.0000
5                         104         0.0000
5                         105         0.0000

6                         0         100.0000
6                         1         0.0003
6                         2         0.0037
6                         3         0.0001
6                         4         0.0001
6                         5         0.0019
6                         6         99.9840
6                         7         0.0000
6                         8         0.0000
6                         9         0.0000
6                         10         0.0000
6                         11         0.0000
6                         12         0.0000
6                         13         0.0000
6                         14         0.0000
6                         15         0.0000
6                         16         0.0000
6                         17         0.0000
6                         18         0.0000
6                         19         0.0000
6                         20         0.0000
6                         21         0.0000
6                         22         0.0000
6                         23         0.0000
6                         24         0.0000
6                         25         0.0000
6                         26         0.0000
6                         27         0.0000
6                         28         0.0000
6                         29         0.0000
6                         30         0.0000
6                         31         0.0000
6                         32         0.0000
6                         33         0.0000
6                         34         0.0000
6                         35         0.0000
6                         36         0.0000
6                         37         0.0000
6                         38         0.0000
6                         39         0.0000
6                         40         0.0000
6                         41         0.0000
6                         42         0.0000
6                         43         0.0000
6                         44         0.0000
6                         45         0.0000
6                         46         0.0000
6                         47         0.0000
6                         48         0.0000
6                         49         0.0000
6                         50         0.0000
6                         51         0.0000
6                         52         0.0000
6                         53         0.0000
6                         54         0.0000
6                         55         0.0000
6                         56         0.0000
6                         57         0.0000
6                         58         0.0000
6                         59         0.0000
6                         60         0.0000
6                         61         0.0000
6                         62         0.0000
6                         63         0.0000
6                         64         0.0000
6                         65         0.0000
6                         66         0.0000
6                         67         0.0000
6                         68         0.0000
6                         69         0.0000
6                         70         0.0000
6                         71         0.0000
6                         72         0.0000
6                         73         0.0000
6                         74         0.0000
6                         75         0.0000
6                         76         0.0000
6                         77         0.0000
6                         78         0.0000
6                         79         0.0000
6                         80         0.0000
6                         81         0.0000
6                         82         0.0000
6                         83         0.0000
6                         84         0.0000
6                         85         0.0000
6                         86         0.0000
6                         87         0.0000
6                         88         0.0000
6                         89         0.0000
6                         90         0.0000
6                         91         0.0000
6                         92         0.0000
6                         93         0.0000
6                         94         0.0000
6                         95         0.0000
6                         96         0.0000
6                         97         0.0000
6                         98         0.0000
6                         99         0.0000
6                         100         0.0000
6                         101         0.0000
6                         102         0.0000
6                         103         0.0000
6                         104         0.0000
6                         105         0.0000

7                         0         100.0000
7                         1         0.0091
7                         2         0.0005
7                         3         0.0000
7                         4         0.0001
7                         5         0.0001
7                         6         0.0000
7                         7         48.4139
7                         8         13.2667
7                         9         36.9601
7                         10         0.6556
7                         11         0.0867
7                         12         0.3409
7                         13         0.0775
7                         14         0.0093
7                         15         0.0075
7                         16         0.0005
7                         17         0.0014
7                         18         0.0006
7                         19         0.0112
7                         20         0.0000
7                         21         0.0001
7                         22         0.0007
7                         23         0.0019
7                         24         0.0001
7                         25         0.0086
7                         26         0.0004
7                         27         0.0000
7                         28         0.0070
7                         29         0.0007
7                         30         0.0207
7                         31         0.0002
7                         32         0.0000
7                         33         0.0000
7                         34         0.0001
7                         35         0.0029
7                         36         0.0001
7                         37         0.0001
7                         38         0.0003
7                         39         0.0000
7                         40         0.0014
7                         41         0.0008
7                         42         0.0075
7                         43         0.0008
7                         44         0.0139
7                         45         0.0003
7                         46         0.0018
7                         47         0.0003
7                         48         0.0005
7                         49         0.0004
7                         50         0.0011
7                         51         0.0044
7                         52         0.0002
7                         53         0.0049
7                         54         0.0002
7                         55         0.0020
7                         56         0.0022
7                         57         0.0002
7                         58         0.0013
7                         59         0.0004
7                         60         0.0001
7                         61         0.0028
7                         62         0.0004
7                         63         0.0000
7                         64         0.0059
7                         65         0.0046
7                         66         0.0005
7                         67         0.0010
7                         68         0.0005
7                         69         0.0005
7                         70         0.0001
7                         71         0.0000
7                         72         0.0001
7                         73         0.0001
7                         74         0.0001
7                         75         0.0005
7                         76         0.0000
7                         77         0.0005
7                         78         0.0001
7                         79         0.0003
7                         80         0.0008
7                         81         0.0000
7                         82         0.0001
7                         83         0.0000
7                         84         0.0001
7                         85         0.0008
7                         86         0.0016
7                         87         0.0013
7                         88         0.0000
7                         89         0.0000
7                         90         0.0018
7                         91         0.0003
7                         92         0.0002
7                         93         0.0000
7                         94         0.0002
7                         95         0.0000
7                         96         0.0011
7                         97         0.0003
7                         98         0.0005
7                         99         0.0000
7                         100         0.0000
7                         101         0.0003
7                         102         0.0000
7                         103         0.0004
7                         104         0.0006
7                         105         0.0000

8                         0         100.0000
8                         1         0.0007
8                         2         0.0011
8                         3         0.0083
8                         4         0.0002
8                         5         0.0001
8                         6         0.0016
8                         7         9.7994
8                         8         64.5280
8                         9         1.0689
8                         10         9.9215
8                         11         14.1848
8                         12         0.0192
8                         13         0.0002
8                         14         0.0082
8                         15         0.0001
8                         16         0.0403
8                         17         0.0216
8                         18         0.0583
8                         19         0.0025
8                         20         0.0121
8                         21         0.0170
8                         22         0.0088
8                         23         0.0004
8                         24         0.0122
8                         25         0.0001
8                         26         0.0016
8                         27         0.0013
8                         28         0.0000
8                         29         0.0228
8                         30         0.0167
8                         31         0.0057
8                         32         0.0406
8                         33         0.0039
8                         34         0.0001
8                         35         0.0016
8                         36         0.0109
8                         37         0.0165
8                         38         0.0038
8                         39         0.0000
8                         40         0.0005
8                         41         0.0041
8                         42         0.0005
8                         43         0.0003
8                         44         0.0038
8                         45         0.0028
8                         46         0.0006
8                         47         0.0007
8                         48         0.0001
8                         49         0.0005
8                         50         0.0000
8                         51         0.0016
8                         52         0.0033
8                         53         0.0012
8                         54         0.0000
8                         55         0.0039
8                         56         0.0011
8                         57         0.0013
8                         58         0.0013
8                         59         0.0017
8                         60         0.0024
8                         61         0.0000
8                         62         0.0011
8                         63         0.0044
8                         64         0.0008
8                         65         0.0000
8                         66         0.0002
8                         67         0.0007
8                         68         0.0024
8                         69         0.0006
8                         70         0.0011
8                         71         0.0001
8                         72         0.0000
8                         73         0.0003
8                         74         0.0007
8                         75         0.0000
8                         76         0.0002
8                         77         0.0001
8                         78         0.0007
8                         79         0.0005
8                         80         0.0006
8                         81         0.0035
8                         82         0.0002
8                         83         0.0009
8                         84         0.0000
8                         85         0.0040
8                         86         0.0000
8                         87         0.0075
8                         88         0.0005
8                         89         0.0000
8                         90         0.0003
8                         91         0.0009
8                         92         0.0000
8                         93         0.0009
8                         94         0.0000
8                         95         0.0002
8                         96         0.0016
8                         97         0.0000
8                         98         0.0012
8                         99         0.0006
8                         100         0.0021
8                         101         0.0001
8                         102         0.0000
8                         103         0.0008
8                         104         0.0019
8                         105         0.0001

9                         0         100.0000
9                         1         0.0003
9                         2         0.0012
9                         3         0.0015
9                         4         0.0013
9                         5         0.0038
9                         6         0.0001
9                         7         32.8629
9                         8         0.2096
9                         9         29.7332
9                         10         36.0671
9                         11         0.5142
9                         12         0.0425
9                         13         0.1490
9                         14         0.0039
9                         15         0.0079
9                         16         0.0159
9                         17         0.0007
9                         18         0.0060
9                         19         0.0009
9                         20         0.0364
9                         21         0.0239
9                         22         0.0001
9                         23         0.0115
9                         24         0.0076
9                         25         0.0275
9                         26         0.0103
9                         27         0.0020
9                         28         0.0176
9                         29         0.0017
9                         30         0.0000
9                         31         0.0597
9                         32         0.0148
9                         33         0.0008
9                         34         0.0004
9                         35         0.0039
9                         36         0.0004
9                         37         0.0018
9                         38         0.0001
9                         39         0.0039
9                         40         0.0000
9                         41         0.0046
9                         42         0.0001
9                         43         0.0004
9                         44         0.0003
9                         45         0.0038
9                         46         0.0006
9                         47         0.0006
9                         48         0.0008
9                         49         0.0005
9                         50         0.0000
9                         51         0.0029
9                         52         0.0008
9                         53         0.0000
9                         54         0.0051
9                         55         0.0000
9                         56         0.0012
9                         57         0.0027
9                         58         0.0032
9                         59         0.0024
9                         60         0.0111
9                         61         0.0057
9                         62         0.0050
9                         63         0.0004
9                         64         0.0029
9                         65         0.0058
9                         66         0.0001
9                         67         0.0020
9                         68         0.0009
9                         69         0.0005
9                         70         0.0000
9                         71         0.0003
9                         72         0.0000
9                         73         0.0004
9                         74         0.0004
9                         75         0.0000
9                         76         0.0000
9                         77         0.0007
9                         78         0.0008
9                         79         0.0002
9                         80         0.0002
9                         81         0.0000
9                         82         0.0010
9                         83         0.0000
9                         84         0.0025
9                         85         0.0037
9                         86         0.0000
9                         87         0.0002
9                         88         0.0020
9                         89         0.0006
9                         90         0.0003
9                         91         0.0001
9                         92         0.0001
9                         93         0.0010
9                         94         0.0000
9                         95         0.0001
9                         96         0.0013
9                         97         0.0002
9                         98         0.0003
9                         99         0.0002
9                         100         0.0013
9                         101         0.0001
9                         102         0.0001
9                         103         0.0002
9                         104         0.0001
9                         105         0.0001

10                         0         100.0000
10                         1         0.0001
10                         2         0.0009
10                         3         0.0024
10                         4         0.0006
10                         5         0.0035
10                         6         0.0002
10                         7         6.0117
10                         8         9.0837
10                         9         31.3983
10                         10         52.5193
10                         11         0.0043
10                         12         0.2890
10                         13         0.1877
10                         14         0.0213
10                         15         0.0061
10                         16         0.0012
10                         17         0.0279
10                         18         0.0006
10                         19         0.0039
10                         20         0.0747
10                         21         0.0024
10                         22         0.0187
10                         23         0.0110
10                         24         0.0001
10                         25         0.0287
10                         26         0.0136
10                         27         0.0003
10                         28         0.0089
10                         29         0.0086
10                         30         0.0359
10                         31         0.0023
10                         32         0.0094
10                         33         0.0002
10                         34         0.0007
10                         35         0.0008
10                         36         0.0030
10                         37         0.0012
10                         38         0.0009
10                         39         0.0026
10                         40         0.0014
10                         41         0.0024
10                         42         0.0071
10                         43         0.0012
10                         44         0.0080
10                         45         0.0000
10                         46         0.0031
10                         47         0.0001
10                         48         0.0000
10                         49         0.0001
10                         50         0.0001
10                         51         0.0028
10                         52         0.0012
10                         53         0.0041
10                         54         0.0002
10                         55         0.0125
10                         56         0.0005
10                         57         0.0001
10                         58         0.0087
10                         59         0.0090
10                         60         0.0002
10                         61         0.0039
10                         62         0.0044
10                         63         0.0001
10                         64         0.0000
10                         65         0.0035
10                         66         0.0000
10                         67         0.0011
